"star1","imdb_rating","meta_score"
"Ramya Krishnan","8.0",76
"Warren Oates","7.8",93
"Russell Crowe","8.0",69
"Scarlett Johansson","8.0",69
"Henry Fonda","7.6",68
"Ethan Coen","8.1",71
"Meat Loaf","8.8",66
"Rachel Griffiths","7.6",52
"Amy Poehler","7.6",80
"John Travolta","8.9",94
"Jonathan Pryce","7.9",84
"Colin Farrell","7.6",80
"Giovanni Ribisi","7.7",89
"Tabu","8.3",76
"Vicky Jenson","7.8",84
"Anupam Kher","8.0",76
"Georges Siatidis","7.9",84
"Robert Duvall","8.4",94
"Charlie Yeung","7.7",71
"Angela Bassett","7.7",73
"Richard Armitage","7.8",58
"Qiu Yuen","7.7",78
"Donna Murphy","7.7",71
"Joan Cusack","8.2",92
"Vernon Dobtcheff","8.1",90
"Richard Farnsworth","8.0",86
"Bruno Zanin","7.9",76
"Rupert Grint","7.7",81
"Laurence Olivier","8.1",86
"Karl Hardman","7.9",89
"Chris Pratt","7.6",67
"Debra Messing","7.6",71
"Ed Helms","7.7",73
"Sigourney Weaver","8.4",89
"Paul Giamatti","7.6",68
"Shôgo Furuya","7.8",73
"William Hickey","8.0",82
"James Stewart","8.4",100
"Rena Owen","7.9",77
"Je-mun Yun","7.8",79
"Elpidia Carrillo","7.8",45
"Mads Mikkelsen","7.8",51
"River Phoenix","8.1",75
"Charles Martin Smith","7.9",79
"Wesley Addy","8.1",75
"Danny Denzongpa","8.0",76
"Lionel Barrymore","7.8",76
"Vanna Urbino","7.8",97
"Kyle Chandler","7.8",96
"Jean-Louis Trintignant","7.9",94
"Liam Neeson","8.9",94
"Bernard-Pierre Donnadieu","7.7",76
"Olivia de Havilland","7.9",97
"Scarlett Johansson","8.5",66
"Clint Eastwood","7.7",90
"Danny Aiello","8.5",64
"Emilia Fox","8.5",85
"Frances Sternhagen","7.8",75
"Alan Ruck","7.8",61
"Elizabeth Banks","7.7",83
"Melisa Sözen","8.1",88
"Katharine Hepburn","7.6",68
"Wendy Hiller","7.7",72
"Kirin Kiki","7.9",93
"Yûko Tanaka","8.4",76
"Jeff Goldblum","8.1",68
"Clifton Powell","7.7",73
"Chris Renaud","7.6",72
"Pierre Fresnay","8.1",76
"Malin Akerman","7.6",56
"Shirley MacLaine","8.3",94
"Pierre Brasseur","7.7",90
